beaconcount,second
7.014285714,68.3
6.885714286,68.4
7.285714286,68.5
6.528571429,68.60000000000001
6.557142857,68.7
6.342857143,68.8
6.685714286,68.9
6.6,69.0
6.628571429,69.10000000000001
6.842857143,69.2
6.642857143,69.3
6.4,69.4
6.371428571,69.5
6.314285714,69.60000000000001
6.885714286,69.7
6.642857143,69.8
6.942857143,69.9
6.7,70.0
6.614285714,70.10000000000001
6.942857143,70.2
7.057142857,70.3
7.128571429,70.4
6.257142857,70.5
7.071428571,70.60000000000001
7.042857143,70.7
6.814285714,70.8
6.557142857,70.9
6.914285714,71.0
7.042857143,71.10000000000001
7.085714286,71.2
6.7,71.3
6.842857143,71.4
7.185714286,71.5
6.985714286,71.60000000000001
6.771428571,71.7
6.585714286,71.8
6.9,71.9
7.314285714,72.0
7.457142857,72.10000000000001
7.157142857,72.2
7.471428571,72.3
7.257142857,72.4
7.157142857,72.5
7.342857143,72.60000000000001
6.942857143,72.7
6.771428571,72.8
6.857142857,72.9
6.885714286,73.0
7.0,73.10000000000001
7.1,73.2
6.871428571,73.3
7.157142857,73.4
6.842857143,73.5
7.142857143,73.60000000000001
7.0,73.7
7.0,73.8
7.285714286,73.9
7.128571429,74.0
7.028571429,74.10000000000001
7.1,74.2
6.928571429,74.3
7.257142857,74.4
6.4,74.5
7.3,74.60000000000001
7.0,74.7
6.828571429,74.8
6.857142857,74.9
7.157142857,75.0
6.514285714,75.10000000000001
6.8,75.2
6.957142857,75.3
7.0,75.4
6.942857143,75.5
6.942857143,75.60000000000001
7.114285714,75.7
7.357142857,75.8
6.828571429,75.9
6.9,76.0
6.628571429,76.10000000000001
7.314285714,76.2
7.0,76.3
7.028571429,76.4
6.628571429,76.5
7.371428571,76.60000000000001
6.9,76.7
7.3,76.80000000000001
6.814285714,76.9
7.2,77.0
7.128571429,77.10000000000001
7.442857143,77.2
7.471428571,77.30000000000001
7.228571429,77.4
7.285714286,77.5
6.885714286,77.60000000000001
7.357142857,77.7
7.071428571,77.80000000000001
6.785714286,77.9
6.728571429,78.0
6.7,78.10000000000001
6.585714286,78.2
7.014285714,78.30000000000001
6.742857143,78.4
6.8,78.5
6.7,78.60000000000001
6.657142857,78.7
6.8,78.80000000000001
6.671428571,78.9
6.857142857,79.0
6.785714286,79.10000000000001
7.1,79.2
7.014285714,79.30000000000001
7.314285714,79.4
7.185714286,79.5
7.042857143,79.60000000000001
6.985714286,79.7
6.942857143,79.80000000000001
7.1,79.9
7.357142857,80.0
7.014285714,80.10000000000001
6.585714286,80.2
6.685714286,80.30000000000001
6.957142857,80.4
7.057142857,80.5
6.828571429,80.60000000000001
7.071428571,80.7
6.9,80.80000000000001
7.185714286,80.9
7.542857143,81.0
6.885714286,81.10000000000001
7.114285714,81.2
7.185714286,81.30000000000001
7.342857143,81.4
7.285714286,81.5
6.928571429,81.60000000000001
6.857142857,81.7
6.585714286,81.80000000000001
7.157142857,81.9
6.771428571,82.0
6.5,82.10000000000001
6.871428571,82.2
6.828571429,82.30000000000001
7.114285714,82.4
6.642857143,82.5
6.685714286,82.60000000000001
7.085714286,82.7
6.657142857,82.80000000000001
6.757142857,82.9
6.728571429,83.0
6.785714286,83.10000000000001
6.771428571,83.2
6.514285714,83.30000000000001
6.328571429,83.4
6.828571429,83.5
7.171428571,83.60000000000001
6.8,83.7
6.742857143,83.80000000000001
6.528571429,83.9
6.985714286,84.0
6.685714286,84.10000000000001
6.585714286,84.2
6.557142857,84.30000000000001
6.685714286,84.4
6.585714286,84.5
7.071428571,84.60000000000001
7.428571429,84.7
6.614285714,84.80000000000001
6.928571429,84.9
6.6,85.0
6.642857143,85.10000000000001
6.6,85.2
7.085714286,85.30000000000001
6.728571429,85.4
6.642857143,85.5
6.914285714,85.60000000000001
6.7,85.7
6.442857143,85.80000000000001
6.771428571,85.9
6.928571429,86.0
6.857142857,86.10000000000001
7.028571429,86.2
6.457142857,86.30000000000001
6.971428571,86.4
6.485714286,86.5
6.657142857,86.60000000000001
6.757142857,86.7
6.885714286,86.80000000000001
7.342857143,86.9
7.1,87.0
6.885714286,87.10000000000001
6.8,87.2
7.128571429,87.30000000000001
6.871428571,87.4
6.828571429,87.5
