x,,,,,rssi,realdist,time
c2:02:0b:00:05:44,,,,,-72,6,
c2:02:0b:00:05:44,,,,,-87,5,
c2:02:0b:00:05:44,,,,,-74,4,
c2:02:0b:00:05:44,,,,,-77,3,
c2:02:0b:00:05:44,,,,,-78,4,
c2:02:0b:00:05:44,,,,,-92,3,
c2:02:0b:00:05:44,,,,,-94,2,
c2:02:0b:00:05:44,,,,,-85,2,
c2:02:0b:00:05:44,,,,,-93,1,
c2:02:0b:00:05:44,,,,,-75,2,
c2:02:0b:00:05:44,,,,,-83,3,
c2:02:0b:00:05:44,,,,,-75,3,
c2:02:0b:00:05:44,,,,,-73,2,
c2:02:0b:00:05:44,,,,,-80,2,
c2:02:0b:00:05:44,,,,,-87,1,
c2:02:0b:00:05:44,,,,,-90,2,
c2:02:0b:00:05:44,,,,,-72,1,
c2:02:0b:00:05:44,,,,,-94,2,
c2:02:0b:00:05:44,,,,,-81,3,
c2:02:0b:00:05:44,,,,,-75,3,
c2:02:0b:00:05:44,,,,,-93,3,
c2:02:0b:00:05:44,,,,,-88,4,
c2:02:0b:00:05:44,,,,,-95,4,
c2:02:0b:00:05:44,,,,,-89,5,
c2:02:0b:00:05:44,,,,,-85,5,
c2:02:0b:00:05:44,,,,,-86,5,
c2:02:0b:00:05:44,,,,,-72,4,
c2:02:0b:00:05:44,,,,,-85,4,
c2:02:0b:00:05:44,,,,,-94,4,
c2:02:0b:00:05:44,,,,,-95,5,
c2:02:0b:00:05:44,,,,,-85,6,
c2:02:0b:00:05:44,,,,,-95,6,
c2:02:0b:00:05:44,,,,,-78,6,
c2:02:0b:00:05:44,,,,,-83,7,
c2:02:0b:00:05:44,,,,,-86,7,
c2:02:0b:00:05:44,,,,,-79,7,
c2:02:0b:00:05:44,,,,,-88,6,
c2:02:0b:00:05:44,,,,,-75,5,
c2:02:0b:00:05:44,,,,,-82,6,
c2:02:0b:00:05:44,,,,,-90,5,
c2:02:0b:00:05:44,,,,,-72,5,
c2:02:0b:00:05:44,,,,,-79,4,
c2:02:0b:00:05:44,,,,,-74,5,
c2:02:0b:00:05:44,,,,,-82,6,
c2:02:0b:00:05:44,,,,,-97,5,
c2:02:0b:00:05:44,,,,,-84,6,
c2:02:0b:00:05:44,,,,,-89,6,
c2:02:0b:00:05:44,,,,,-81,5,
c2:02:0b:00:05:44,,,,,-72,5,
c2:02:0b:00:05:44,,,,,-72,5,
